City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,pula,44.8683,13.8481,28.31,51,0,1.54,HR,1687191145
160,castlegar,49.2998,-117.6689,11.66,89,98,2.28,CA,1687191146
161,tyret pervaya,53.6703,102.3106,12.9,91,55,0.78,RU,1687191146
162,northam,51.0333,-4.2167,19.25,74,73,3.42,GB,1687191147
163,sheridan,44.8333,-106.9173,18.03,88,100,0.0,US,1687191147
164,ribeira grande,38.5167,-28.7,21.22,83,75,2.57,PT,1687190746
165,hermanus,-34.4187,19.2345,10.45,70,64,12.76,ZA,1687190920
166,pedernales,18.0384,-71.744,31.19,56,100,2.17,DO,1687191148
167,san patricio,28.017,-97.5169,35.05,38,5,7.09,US,1687191149
168,saint george,37.1041,-113.5841,30.24,23,0,7.2,US,1687190915
169,tuzha,57.6062,47.936,8.51,89,100,3.36,RU,1687191150
170,salalah,17.0151,54.0924,28.04,86,100,3.66,OM,1687191058
171,goderich,43.7501,-81.7165,26.18,38,67,4.12,CA,1687191150
172,curuca,-0.7289,-47.8481,30.09,66,25,2.34,BR,1687190934
173,laguna,38.421,-121.4238,18.41,53,0,3.6,US,1687191016
174,selikhino,50.3672,137.4996,14.08,87,24,0.72,RU,1687191138
175,saskylakh,71.9167,114.0833,8.16,70,10,7.13,RU,1687191152
176,ugoofaaru,5.6667,73.0,28.52,78,100,5.75,MV,1687191152
177,broken hill,-31.95,141.4333,7.73,67,99,3.43,AU,1687190929
178,fuerte,17.5381,120.3644,27.03,82,0,1.18,PH,1687191154
179,haines junction,60.7522,-137.5108,11.97,76,42,0.0,CA,1687191154
180,east london,-33.0153,27.9116,13.25,73,36,11.21,ZA,1687191154
181,saint anthony,45.0205,-93.218,27.79,68,75,3.6,US,1687191155
182,tual,-5.6667,132.75,26.67,80,100,8.06,ID,1687191059
183,cidreira,-30.1811,-50.2056,15.22,67,42,5.34,BR,1687190970
184,meulaboh,4.1363,96.1285,25.76,83,24,1.18,ID,1687191027
